Fly,Axe
ReLoadCurrentScene,BeWidePrecedeFatal
Beaty,Embed
AsyncLoadBeaty,RigorWideEmbed
GetCurrentSceneName,HowPrecedeFatalOver
GetCurrentSceneBuildIndex,HowPrecedeFatalCrowdMoody
LoadSceneByIndex,WideFatalUpMoody
LoadNextScene,WideRageFatal
LoadPrevScene,WideWaryFatal
Face,More
Book,Epic
FaceBook,MoreEpic
FaceBook_Click,MoreEpic_Third
Faceboo,Thermal
FacebooLoginHandler,ThermalStingPropose
FacebooLogoutHandler,ThermalAsleepPropose
LoadPhotoEventHandler,WideLyricAnvilPropose
LoadTextEventHandler,WidePityAnvilPropose
LoginEventHandler,StingAnvilPropose
LogoutEventHandler,AsleepAnvilPropose
Blogin,Lizard
FBlogin,FLizard
Blog,Vase
FBlogOut,FVaseIts
LoadAllFBData,WideJoyFBSoul
GetPlayerTextInfo,HowUntoldPityBust
TryGetPlayerTextInfo,EatHowUntoldPityBust
GetPlayerPhoto,HowUntoldLyric
TryGetPlayerPhoto,EatHowUntoldLyric
GetAppLink,HowMapBear
ClickSound,ThirdMedia
Button_Click,Seaman_Third
PlayClip,DeadMine
SetSound,OldMedia
SetMusic,OldStark
SetVolumeMusic,OldMeteorStark
SoundPlayClipAtPos,MediaDeadMineMePot
SoundPlayClick,MediaDeadThird
SoundPlayOpenWindow,MediaDeadYorkPurely
SoundPlayCloseWindow,MediaDeadDodgePurely
PlayClipAtPoint,DeadMineMeNaked
SetMusicAndPlay,OldStarkCanDead
PlayCurrentMusic,DeadPrecedeStark
StopAllClip,LingJoyMine
StopMusic,LingStark
Force,Usher
ForceStopMusic,UsherLingStark
Clips,Gripe
StopClips,LingGripe
ApplyVolume,PreenMeteor
CreateAudioSourceAtPos,LiableChafeFamilyMePot
Plus,Bold
VolumePlusButton,MeteorPlusSeaman
VolumePlusButton_Click,MeteorPlusSeaman_Third
Minus,Start
VolumeMinusButton,MeteorStartSeaman
VolumeMinusButton_Click,MeteorStartSeaman_Third
IntToText,GasDyPity
CreateTimer,LiableRainy
RestartTimer,SleeperRainy
TickPassedFullSecondsHandler,FoilTalbotPeckHatchetPropose
TickRestFullSecondsHandler,FoilGirlPeckHatchetPropose
TickPassedDaysHourMinSecHandler,FoilTalbotLevyDeftButShyPropose
TickRestDaysHourMinSecHandler,FoilGirlLevyDeftButShyPropose
FullTimePassedHandler,PeckSlitTalbotPropose
GetPassedTime,HowTalbotSlit
GetRestTime,HowGirlSlit
CalcTime,RateSlit
Span,Wood
AddTimeSpan,BatSlitWood
PassedTime,TalbotSlit
RestTime,GirlSlit
Sring,Exalt
DTFromSring,DTWellSring
GetTimeSpanSeconds,HowSlitWoodHatchet
Prefs,Grama
RemoveTimerPrefs,PuddleRainyGrama
Exist,Faith
GetLastTick,HowHurlFoil
GetEndTick,HowVanFoil
GetStartTick,HowVaultFoil
Mobile,Matron
Device,Police
IsMobileDevice,IDMatronPolice
SetTouchActivity,OldTexasCivility
LastScreenDragHandler,HurlDollarSlayPropose
Slow,Pool
Follow,Origin
SlowFollowC,PoolOriginC
LastScreenPointerDownEventHandler,HurlDollarVisibleMustAnvilPropose
Scree,Maine
LastScreePointerUpEventHandler,HurlMaineVisibleOfAnvilPropose
SetFirstObject,OldAfterScreen
ResetDragEventRaise,SwearSlayAnvilTaint
GetWorldTouchPos,HowKneelTexasPot
SetTouch,OldTexas
GetIconDrag,HowOnceSlay
Priority,Softwood
Abs,Low
GetPriorityOneDirAbs,HowSoftwoodFixFatLow
PointerDown,VisibleMust
DragBegin,SlayRough
DragEnter,SlayCivic
DragExit,SlayPant
DragDrop,SlayFoil
PointerUp,VisibleOf
GetDataIcon,HowSoulOnce
ForceCancelAll,UsherPhysicJoy
ForceCancel,UsherPhysic
CreateTweenObject,LiableWeighScreen
SetEase,OldSilt
SetDelay,OldDusty
SetOnUpdate,OldOrMildly
AddCompleteCallBack,BatGasolineExpoLash
SetCycled,OldDamper
UpdateValue,MildlyQuery
Linear,Reason
EaseLinear,SiltReason
Quad,Wood
EaseInQuad,SiltIDQuad
EaseOutQuad,SiltItsWood
EaseInOutQuad,SiltIDItsWood
Sine,Tell
EaseInSine,SiltIDTell
EaseOutSine,SiltItsTell
EaseInOutSine,SiltIDItsTell
Cubic,Reuse
EaseInCubic,SiltIDReuse
EaseOutCubic,SiltItsReuse
EaseInOutCubic,SiltIDItsReuse
Quart,Modus
EaseInQuart,SiltIDModus
EaseOutQuart,SiltItsModus
EaseInOutQuart,SiltIDItsModus
Quint,Upper
EaseInQuint,SiltIDUpper
EaseOutQuint,SiltItsUpper
EaseInOutQuint,SiltIDItsUpper
Bounce,Sparse
EaseInBounce,SiltIDSparse
EaseOutBounce,SiltItsSparse
EaseInOutBounce,SiltIDItsSparse
Expo,Sand
EaseInExpo,SiltIDSand
EaseOutExpo,SiltItsSand
EaseInOutExpo,SiltIDItsSand
Circ,Nick
EaseInCirc,SiltIDNick
EaseOutCirc,SiltItsNick
EaseInOutCirc,SiltIDItsNick
EaseInBack,SiltIDLash
EaseOutBack,SiltItsLash
EaseInOutBack,SiltIDItsLash
Elastic,Dispute
EaseInElastic,SiltIDElastic
EaseOutElastic,SiltItsDispute
EaseInOutElastic,SiltIDItsDispute
DelayAction,DustyEndear
TweenColor,WeighSouth
Cycle,Comer
StartCycle,VaultComer
CreateCB,LiableCB
CreateInstance,LiableWhatever
RefreshCount,TractorPulse
RefreshRewardGroup,TractorGreeceSharp
GetButton,HowSeaman
GetButton_Click,HowSeaman_Third
RewardReceivedEventHandler,GreeceObligateAnvilPropose
Achiev,Latter
Tab,Cud
CreateAchievTab,LiableLatterCud
ApplyReward,PreenGreece
Open_Click,York_Third
Claim,Yield
Claim_Click,Yield_Third
Change_Click,Halite_Third
SetNewAvatar,OldNssCredit
RemoveAvatar,PuddleCredit
RefreshFullName,TractorPeckOver
RefreshPlayerAvatar,TractorUntoldCredit
Icons,Sloth
CreateThemeIcons,LiableReactSloth
CheckButton,BrandSeaman
SetFillAmount,OldBrimActive
AddAmount,BatActive
SetValueWithoutNotify,OldQueryPromisePatrol
GetDistToNext,HowComaDyRage
GetDistToPrev,HowComaDyWary
SetAnchoredPosition,OldTranquilSynapsis
UpdateC,MildlyC
ShowGuiSlide,KnotRatGamma
ShowPrevSlide,KnotWaryGamma
ShowNextSlide,KnotRageGamma
MoveToNextC,FineDyRageC
MoveToPrevC,FineDyWaryC
Navi,Horn
SetNavi,OldHorn
Activate,Obsolete
Slides,Paddle
ActivateSlides,ObsoletePaddle
Positions,Colosseum
SetAnchoredPositions,OldTranquilColosseum
AnimationController,CertaintyModerately
CustomPrint,EditorDusty
Dictionaries,Manufacturer
MergeDictionaries,ExertManufacturer
GetSystemData,HowDefineSoul
NotificationManager,ConservativeEvening
Helper,Insert
BoardHelper,SyrupInsert
GameBoard,LullSyrup
PreloadedLevelData,StabilityDeltaSoul
Monitor,Protein
PreloadPerformanceMonitor,DevelopResidentialProtein
GameEvents,LullGuinea
CellArray,LimeBelle
Gen,Jet
GenInd,JetEnd
Extension,Subsidize
GCListExtension,GCPeakSubsidize
MatchPair,EliteTaut
SpritesPair,BroadlyTaut
PossibleMatches,DiffusesDialect
MatchGridRenderer,EliteSodaWestward
ScoreController,RouteModerately
TargetData,MildlySoul
TileTouchBehavior,TrimTexasProposal
TutorialGuide,SeparatePrice
UndoMatch,LashElite
UndoState,LashVogue
FlyManager,AxeEvening
GameDataManager,LullSoulEvening
MainManager,BookEvening
TimerManager,RainyEvening
TimerData,RainySoul
GameManager,LullEvening
Tips,Away
InsertTips,ShrillAway
LevelCompletePanel,DeltaGasolineDwarf
LoadingPanel,ClarifyDwarf
Not,Bid
Tools,Grand
NotTools,NotGrand
RateUsPanel,LastGoDwarf
RectMaskPanel,TearFendDwarf
RewardLowPanel,GreeceHotDwarf
SendData,HeroSoul
addScoreData,FewRouteSoul
SettingPanel,AdjunctDwarf
SlotGroup,PraySharp
TimeReward,SlitGreece
TimeRewardItems,SlitGreeceTopic
Model,Chart
AudioModel,ChafeChart
AudioSourceQueue,ChafeFamilyRoman
MusicMgr,StarkPeg
Resources,Dandelion
MusicResourcesMgr,StarkDandelionPeg
MusicType,StarkLieu
CommonConfig,WinterShaman
SaveDataManager,BondSoulEvening
Animator,Consider
FrameAnimator,DiverAnimator
Archor,Rumble
Tool,Boom
ArchorTool,RumbleBoom
AutoLayout,LoftOption
AdjustInitManager,EffortWineEvening
ADManager,ADEvening
CustomData,EditorSoul
Ad_CustomData,So_EditorSoul
RateUsManager,LastGoEvening
Center,Legend
Logic,Moody
MessageCenterLogic,OutdoorLegendLogic
MessageData,OutdoorSoul
CConfig,CShaman
NetInfoMgr,CryBustPeg
Script,Pawnee
PostEventScript,SpitAnvilPawnee
NetWorkGetObject,CryCyanHowScreen
NetWorkManager,CryCyanEvening
Task,Lieu
RequestTask,UtterlyTask
NetWorkPostObject,CryCyanSpitScreen
Guidance,Mechanic
GuidanceEventPenetrate,MechanicAnvilDefensive
NewUserGuidePanel,NssTrayPriceDwarf
RectGuideMask,TearPriceFend
ObjectPool,ScreenClan
ObjectPoolManager,ScreenClanEvening
Singleton,Depiction
MonoSingleton,AfarDepiction
ToastManager,AllayEvening
ScrollViewContentLayout,UnseenMeetCrumbleOption
Util,Erie
CommonUtil,WinterErie
DateUtil,TautErie
NumberUtil,GallopErie
RandomUtil,UnusedErie
StringUtil,CoyoteErie
Achievement,Conspicuous
Achievements,Significance
AchievementsController,AchievementsModerately
MatchSpritesAchievement,EliteBroadlyConspicuous
UseShuffleAchievement,FeeSeminarConspicuous
WinLevelAchievement,FanDeltaConspicuous
GameConstructor,LullUnreachable
Input,Sweet
IncDecInputPanel,ViaSunSweetDwarf
ModeButton,SpurSeaman
PanelContainerController,DwarfGrievanceModerately
ScrollPanelController,UnseenDwarfModerately
Solid,Entry
SolidLineRenderer,EntryWildWestward
GridCell,SodaLime
GridObject,SodaScreen
GridObjectState,SodaScreenVogue
MatchGrid,EliteSoda
Neigh,Child
Bors,Dale
NeighBors,ChildDale
Tester,Mirage
RewardItemUI,GreeceHighUI
TimeUI,SlitUI
Home,Main
HomePanel,MainDwarf
ConfigManagerByJson,ShamanEveningUpMode
KeyValuesInfo,AieStableBust
KeyValuesNode,AieStableRime
Sys,Art
Define,Cooler
SysDefine,ArtCooler
Trigger,Toronto
EventTriggerListener,AnvilTorontoSolution
MessageCenter,OutdoorLegend
KeyValuesUpdate,AieStableMildly
Anlysis,Welfare
Exception,Evergreen
JsonAnlysisException,ModeWelfareEvergreen
ResourcesMgr,DandelionPeg
UIMaskMgr,UIFendPeg
UnityHelper,OasisInsert
LauguageMgr,DwellingPeg
BaseUIForms,RealUITruth
UIManager,UIEvening
UIFormParams,UIEddyAdvent
UIType,UILieu
Scriptable,Philippine
BaseScriptable,RealPhilippine
GameConstructSet,LullFreshnessOld
GameObjectsSet,LullCoconutOld
CellData,LimeSoul
ObjectsSetData,CoconutOldSoul
Collection,Hospitable
ObjectSetCollection,ScreenOldHospitable
LevelConstructSet,DeltaFreshnessOld
Obects,Tribal
GCellObects,GLimeTribal
Footer,Recall
FooterGUIController,RecallGUIModerately
Header,Future
HeaderGUIController,FutureGUIModerately
Mathes,Limner
PossibleMathesGUIController,DiffusesLimnerGUIModerately
Fitter,Insult
RandomBackgroundFitter,UnusedUnoccupiedInsult
ScoreGUIController,RouteGUIModerately
Title,Board
TitleScreenBehavior,BoardDollarProposal
Avatars,Gosling
AvatarsHolder,GoslingMisery
CoinsHelper,GlandInsert
CoinsHolder,GlandMisery
GameLevelHelper,LullDeltaInsert
GameLevelHolder,LullDeltaMisery
Themes,Handle
GameThemesHolder,LullHandleMisery
HintHelper,PackInsert
PlayerDataHolder,UntoldSoulMisery
ScoreHolder,RouteMisery
ScriptableHolder,PhilippineMisery
ShuffleHelper,SeminarInsert
ThemeSpritesHolder,ReactBroadlyMisery
MahjongSpritesGroup,AngularBroadlySharp
MahjongSpritesGroupSimple,AngularBroadlySharpMelody
Flasher,Triumph
ColorFlasher,SouthTriumph
Utils,Ahead
MKUtils,MKAhead
Metrics,Firearm
Android,Situate
DisplayMetricsAndroid,RealistFirearmSituate
Particles,Diffusion
ParticlesDestroy,DiffusionOceania
Application,Incongruity
ApplicationQuit,IncongruityMint
BackButton,LashSeaman
DataComponent,SoulBrusquely
Worker,Height
FileWorker,SeatWorker
Wrapper,Ragtime
ListWrapper,PeakRagtime
Struct,Worker
ListWrapperStruct,PeakRagtimeWorker
GameObjectToggle,LullScreenMature
SceneButton,FatalSeaman
SpriteText,CorpsePity
TargetFrameRate,MildlyDiverLast
MaskControl,FendAnalogy
PageView,NormMeet
ScrollView,UnseenMeet
ScrollViewItem,UnseenMeetHigh
MahjongThemePU,AngularReactPU
Victory,Darling
VictoryWindowController,DarlingPurelyModerately
StartMapGuiController,VaultOakRatModerately
Named,Craft
Attribute,Stressful
NamedArrayAttribute,CraftBelleStressful
Element,Counter
ArrayElementTitleAttribute,BelleCounterBoardStressful
ShowOnlyAttribute,KnotAntiStressful
ReadOnlyAttribute,OpenAntiStressful
ShowIfTrueAttribute,KnotAtHuskStressful
Expect,Recall
ExpectNotNullAttribute,ExpectBidHiveStressful
Provider,Befriend
CustomProvider,EditorBefriend
FPS,FPS
PrintData,DustySoul
DelayDestroy,DustyOceania
Dont,Lira
DontDestroyObj,LiraOceaniaSad
Ext,Ink
EditorExt,DredgeInk
Inspector,Citizenry
Inspector_Button,Citizenry_Seaman
Utility,Himself
ScriptableObjectUtility,PhilippineScreenHimself
SingletonScriptableObject,DepictionPhilippineScreen
Extensions,Forerunner
ButtonExtensions,SeamanForerunner
SourceButtonImages,FamilySeamanArrive
CollectionExtension,HospitableSubsidize
GameObjectExtensions,LullScreenForerunner
ImageExtension,ReadySubsidize
PlayerPrefsExtension,UntoldGramaSubsidize
DoubleWrapper,SyntaxRagtime
StringExtension,CoyoteSubsidize
TextExtension,PitySubsidize
Cam,Car
CanvasSetCam,SphereOldCar
GuiController,RatModerately
Fader,Hatch
GuiFader,RatHatch
v,v
GuiFader_v2,RatHatch_v2
FaderObject,HatchScreen
Rec,Sit
FaderObjectsRec,HatchCoconutSit
GUIFlyer,GUIArgon
OpenURLButton,YorkURLSeaman
PopUpsController,LotIllModerately
Opions,Clover
WindowOpions,PurelyClover
FadeAnim,BankGold
MoveAnim,FineGold
ScaleAnim,BladeGold
ShowGuiPopUp,KnotRatLotOf
ShowRandomGuiPopUp,KnotUnusedRatLotOf
ShowSelfClosingMessage,KnotTideOrderlyOutdoor
SoundGUIController,MediaGUIModerately
ToggleButton,MatureSeaman
UIGradient,UIResettle
Warning,Airflow
Mess,Edge
WarningMessController,AirflowEdgeModerately
Instantiator,Purposefully
PrefabInstantiator,DismalPurposefully
Math,Maya
Mk,By
MathMk,MayaMk
Loader,Homely
SceneLoader,FatalHomely
SceneLoadHelper,FatalWideInsert
FaceBookGUIController,MoreEpicGUIModerately
FbEvents,OnGuinea
Bholder,Freshly
FBholder,FFreshly
ButtonClickSound,SeamanThirdMedia
GUIMusicSoundButtonBehavior,GUIStarkMediaSeamanProposal
PlaySound,DeadMedia
Master,Muscle
SoundMaster,MediaMuscle
StartMusic,VaultStark
StartSound,VaultMedia
VolumeController,MeteorModerately
OutText,ItsPity
Mesh,Drum
OutTextMesh,ItsPityDrum
SessionLocalTimer,EstuaryElderRainy
SessionTimer,EstuaryRainy
Global,Brutal
GlobalTimer,BrutalRainy
TouchManager,TexasEvening
Pad,Shy
TouchPad,TexasPad
Args,Mint
TouchPadEventArgs,TexasShyAnvilArgs
TouchPadMessageTarget,TexasShyOutdoorMildly
TouchPadS,TexasShyS
SimpleTween,MelodyWeigh
SimpleTweenObject,MelodyWeighScreen
TweenIntValue,WeighGasQuery
TweenLongValue,WeighWarnQuery
TweenDoubleValue,WeighSyntaxQuery
TweenExt,WeighInk
TweenSeq,WeighEke
Parallel,Cohesive
ParallelTween,CohesiveWeigh
Gruop,Along
TweenSeqGruop,WeighEkeAlong
AchievementsGUIController,SignificanceGUIModerately
AchievementsLine,SignificanceWild
AchievementsPU,SignificancePU
RewardChestLine,GreeceRanchWild
RewardChestPU,GreeceRanchPU
Profile,Pertain
MahjongProfileWindowController,AngularPertainPurelyModerately
ThemeButton,ReactSeaman
StoryPage,WidenNorm
StoryTab,WidenCud
ProgressBarSlider,FeasibleTieRevise
ProgressSlider,FeasibleRevise
PSlider,PRevise
SimpleSlider,MelodyRevise
GuiSlide,RatGamma
GuiSlider,RatRevise
Sound_BGM,Media_BGM
Clickmj,Sustain
Sound_Clickmj,Media_Sustain
matchmj,Redwood
Sound_matchmj,Media_Redwood
shibai,Cellar
Sound_shibai,Media_Cellar
Sound_GoldCoin,Media_HallAiry
Arm,Far
Bandit,Family
OneArmBandit,FixFarFamily
Sound_OneArmBandit,Media_FixFarFamily
Sound_PopShow,Media_LotKnot
UIButton,UISeaman
Sound_UIButton,Media_UISeaman
Green,Story
ButtonGreen,SeamanStory
FlyObj,AxeSad
newSelect,TopEleven
ButtonLayer,SeamanAgain
ButtonLevelNew,SeamanDeltaNss
Play_Edit_ModeButton,Dead_Hard_SpurSeaman
ScrollPanelNew,UnseenDwarfNss
ScrollPanelNew_12,UnseenDwarfNss_12
ScrollPanelNew_4,UnseenDwarfNss_4
ScrollPanelNew_8,UnseenDwarfNss_8
IncDecGridSetPrefab,ViaSunSodaOldDismal
x,x
MahjongTile2x2 1,AngularTrim2x2 1
MahjongTile2x2,AngularTrim2x2
MatchScoreFlyer,EliteRouteArgon
About,Overt
AboutPU,OvertPU
MatchSpritesAchievementLine,EliteBroadlyConspicuousWild
UseHintAchievementLine,FeePackConspicuousWild
UseShuffleAchievementLine,FeeSeminarConspicuousWild
LevelsAchievementLine,ValleyConspicuousWild
Win5LevelsAchievementLine,Fan5ValleyConspicuousWild
Rewards,Hormone
RewardsPU,HormonePU
RewardsPU_shuffle1_hint1,HormonePU_Fortune1_Avid1
GetFreeHint,HowBoldPack
GetFreeShuffle,HowBoldSeminar
LoadGroupPU,WideSharpPU
NoMatchesPU,DyDialectPU
ProfilePU,PertainPU
ThemeIconPrefab,ReactOnceDismal
ThemePU,ReactPU
ScreenPU,DollarPU
WinPU,FanPU
ProgressBar,FeasibleTie
ResourceBar,ReminderTie
RewardItem,GreeceHigh
TextBG,PityBG
CashOutPanel,FareItsDwarf
IConfigManager,IShamanEvening
Classes,Gosling
GridHelperClasses,SodaInsertGosling
Enums,Haiti
InterfacesEnums,SuccinctlyHaiti
Attributes,Unresolved
GameObjectExtension,LullScreenSubsidize
Tweens,Enable

